party,candidate,vote,state,district
CST,Kevin Hayes,104017,North Carolina,6
REP,David Rouzer,254022,North Carolina,7
DEM,Marlando Pridgen,179512,North Carolina,7
REP,Mark Harris,238640,North Carolina,8
DEM,Justin Dues,161709,North Carolina,8
REP,Richard Hudson,210042,North Carolina,9
DEM,Nigel Bristow,140852,North Carolina,9
REP,Pat Harrigan,233814,North Carolina,10
DEM,Ralph Scott,155383,North Carolina,10
REP,Chuck Edwards,245546,North Carolina,11
DEM,Caleb Rudow,186977,North Carolina,11
DEM,Alma Adams,259627,North Carolina,12
REP,Addul Ali,91128,North Carolina,12
REP,Brad Knott,243655,North Carolina,13
DEM,Frank Pierce,171835,North Carolina,13
REP,Tim Moore,232987,North Carolina,14
DEM,Pam Genant,168269,North Carolina,14
REP,Brian Fitzpatrick,261390,Pennsylvania,1
DEM,Ashley Ehasz,202042,Pennsylvania,1
DEM,Brendan Boyle,193691,Pennsylvania,2
REP,Aaron Bashir,77355,Pennsylvania,2
DEM,Dwight Evans,340223,Pennsylvania,3
DEM,Madeleine Dean,269066,Pennsylvania,4
REP,David Winkler,186457,Pennsylvania,4
DEM,Mary Gay Scanlon,267754,Pennsylvania,5
REP,Alfeia Goodwin,142355,Pennsylvania,5
DEM,Chrissy Houlahan,235625,Pennsylvania,6
REP,Neil Young,183638,Pennsylvania,6
REP,Ryan Mackenzie,203688,Pennsylvania,7
DEM,Susan Wild,199626,Pennsylvania,7
REP,Rob Bresnahan,195663,Pennsylvania,8
DEM,Matt Cartwright,189411,Pennsylvania,8
REP,Dan Meuser,276212,Pennsylvania,9
DEM,Amanda Waldman,115523,Pennsylvania,9
REP,Scott Perry,205567,Pennsylvania,10
DEM,Janelle Stelson,200434,Pennsylvania,10
REP,Lloyd Smucker,253672,Pennsylvania,11
DEM,Jim Atkinson,149641,Pennsylvania,11
DEM,Summer Lee,234802,Pennsylvania,12
REP,James Hayes,181426,Pennsylvania,12
REP,John Joyce,301460,Pennsylvania,13
DEM,Beth Farnham,104823,Pennsylvania,13
REP,Guy Reschenthaler,268380,Pennsylvania,14
DEM,Chris Dziados,134755,Pennsylvania,14
REP,Glenn Thompson,279027,Pennsylvania,15
DEM,Zach Womer,111408,Pennsylvania,15
REP,Mike Kelly,256923,Pennsylvania,16
DEM,Preston Nouri,146709,Pennsylvania,16
DEM,Chris Deluzio,242838,Pennsylvania,17
REP,Rob Mercuri,207900,Pennsylvania,17
REP,Diana Harshbarger,257825,Tennessee,1
DEM,Kevin  Jenkins,64021,Tennessee,1
REP,Tim Burchett,250782,Tennessee,2
DEM,Jane George,111316,Tennessee,2
REP,Chuck Fleischmann,236519,Tennessee,3
DEM,Jack Allen,102841,Tennessee,3
REP,Scott DesJarlais,219133,Tennessee,4
DEM,Victoria Broderick,83832,Tennessee,4
REP,Andy Ogles,205075,Tennessee,5
DEM,Maryam Abolfazli,142387,Tennessee,5
REP,John Rose,225543,Tennessee,6
DEM,Lore Bergman,106144,Tennessee,6
REP,Mark Green,191992,Tennessee,7
DEM,Megan Barry,122764,Tennessee,7
REP,David Kustoff,240411,Tennessee,8
DEM,Sarah Freeman,85043,Tennessee,8
DEM,Steve Cohen,159522,Tennessee,9
REP,Charlotte Bergmann,57411,Tennessee,9
REP,Nathaniel Moran,258523,Texas,1
REP,Dan Crenshaw,214631,Texas,2
DEM,Peter Filler,112252,Texas,2
REP,Keith Self,237794,Texas,3
DEM,Sandeep Srivastava,142953,Texas,3
REP,Pat Fallon,241603,Texas,4
DEM,Simon Cardell,111696,Texas,4
REP,Lance Gooden,192185,Texas,5
DEM,Ruth Torres,107712,Texas,5
REP,Jake Ellzey,188119,Texas,6
DEM,John Love,98319,Texas,6
DEM,Lizzie Fletcher,149820,Texas,7
REP,Caroline Kane,94651,Texas,7
REP,Morgan Luttrell,233423,Texas,8
DEM,Laura Jones,108754,Texas,8
DEM,Al Green,184141,Texas,9
REP,Michael McCaul,221229,Texas,10
DEM,Theresa Boisseau,118280,Texas,10
REP,August Pfluger,211975,Texas,11
REP,Craig Goldman,215564,Texas,12
DEM,Trey Hunt,124154,Texas,12
REP,Ronny Jackson,240622,Texas,13
REP,Randy Weber,210320,Texas,14
DEM,Rhonda Hart,95875,Texas,14
REP,Monica De La Cruz,127804,Texas,15
DEM,Michelle Vallejo,95965,Texas,15
DEM,Veronica Escobar,131391,Texas,16
REP,Irene Armendariz Jackson,89281,Texas,16
REP,Pete Sessions,193101,Texas,17
DEM,Mark Lorenzen,97941,Texas,17
DEM,Sylvester Turner,151834,Texas,18
REP,Lana Centonze,66810,Texas,18
REP,Jodey Arrington,214950,Texas,19
IND,Nathan Lewis,27461,Texas,19
LIB,Bernard Johnson,23964,Texas,19
DEM,Joaquin Castro,157890,Texas,20
REP,Chip Roy,263744,Texas,21
DEM,Kristin Hook,153765,Texas,21
REP,Troy Nehls,209285,Texas,22
DEM,Marquette Greene-Scott,127604,Texas,22
REP,Tony Gonzales,180720,Texas,23
DEM,Santos Limon,109373,Texas,23
REP,Beth Van Duyne,227108,Texas,24
DEM,Sam Eppler,149518,Texas,24
REP,Roger Williams,263042,Texas,25
REP,Brandon Gill,241096,Texas,26
DEM,Ernest Lineberger,138558,Texas,26
REP,Michael Cloud,183980,Texas,27
DEM,Tanya Lloyd,94596,Texas,27
DEM,Henry Cuellar,125490,Texas,28
REP,Jay Furman,112117,Texas,28
DEM,Sylvia Garcia,99379,Texas,29
REP,Alan Garza,52830,Texas,29
DEM,Jasmine Crockett,197650,Texas,30
LIB,Jrmar Jefferson,35175,Texas,30
REP,John Carter,229087,Texas,31
DEM,Stuart Whitlow,126470,Texas,31
DEM,Julie Johnson,140536,Texas,32
REP,Darrell Day,85941,Texas,32
DEM,Marc Veasey,114289,Texas,33
REP,Patrick Gillespie,51864,Texas,33
DEM,Vicente Gonzalez,102780,Texas,34
REP,Mayra Flores,97603,Texas,34
DEM,Greg Casar,170509,Texas,35
REP,Steven Wright,82610,Texas,35
REP,Brian Babin,206009,Texas,36
DEM,Dayna Steele,91009,Texas,36
DEM,Lloyd Doggett,252980,Texas,37
REP,Jenny Garcia Sharon,80366,Texas,37
REP,Wesley Hunt,215030,Texas,38
DEM,Melissa McDonough,127640,Texas,38
REP,Rob Wittman,269657,Virginia,1
DEM,Leslie Mehta,208445,Virginia,1
REP,Jen Kiggans,207368,Virginia,2
DEM,Missy Cotter Smasal,191666,Virginia,2
DEM,Bobby Scott,219926,Virginia,3
REP,John Sitka,93801,Virginia,3
DEM,Jennifer McClellan,252885,Virginia,4
REP,Bill Moher,121814,Virginia,4
REP,John McGuire,249564,Virginia,5
DEM,Gloria Witt,184229,Virginia,5
REP,Ben Cline,255849,Virginia,6
DEM,Ken Mitchell,140099,Virginia,6
DEM,Eugene Vindman,203336,Virginia,7
REP,Derrick Anderson,192847,Virginia,7
DEM,Donald Beyer,274593,Virginia,8
REP,Jerry Torres,94676,Virginia,8
REP,Morgan Griffith,290645,Virginia,9
DEM,Karen Baker,109570,Virginia,9
DEM,Suhas Subramanyam,215131,Virginia,10
REP,Mike Clancy,196343,Virginia,10
DEM,Gerry Connolly,273529,Virginia,11
REP,Mike Van Meter,134802,Virginia,11
DEM,Suzan DelBene,227213,Washington,1
REP,Jeb Brewer,132538,Washington,1
DEM,Rick Larsen,263750,Washington,2
REP,Cody Hart,148167,Washington,2
DEM,Marie Gluesenkamp Perez,215177,Washington,3
REP,Joe Kent,199054,Washington,3
REP,Dan Newhouse,153477,Washington,4
REP,Jerrod Sessler,136175,Washington,4
REP,Michael Baumgartner,240619,Washington,5
DEM,Carmela Conroy,156074,Washington,5
DEM,Emily Randall,239687,Washington,6
REP,Drew MacEwen,182182,Washington,6
DEM,Pramila Jayapal,352286,Washington,7
REP,Dan Alexander,66220,Washington,7
DEM,Kim Schrier,224607,Washington,8
REP,Carmen Goers,190675,Washington,8
DEM,Adam Smith,182780,Washington,9
DEM,Melissa Chaudhry,90601,Washington,9
DEM,Marilyn Strickland,203732,Washington,10
REP,Don Hewett,143492,Washington,10
REP,Bryan Steil,212515,Wisconsin,1
DEM,Peter Barca,172402,Wisconsin,1
DEM,Mark Pocan,320317,Wisconsin,2
REP,Erik Olsen,136357,Wisconsin,2
REP,Derrick Van Orden,212064,Wisconsin,3
DEM,Rebecca Cooke,200808,Wisconsin,3
DEM,Gwen Moore,249938,Wisconsin,4
REP,Tim Rogers,74921,Wisconsin,4
REP,Scott Fitzgerald,300521,Wisconsin,5
DEM,Ben Steinhoff,165653,Wisconsin,5
REP,Glenn Grothman,251889,Wisconsin,6
DEM,John Zarbano,159042,Wisconsin,6
REP,Tom Tiffany,273553,Wisconsin,7
DEM,Kyle Kilbourn,156524,Wisconsin,7
REP,Tony Wied,240040,Wisconsin,8
DEM,Kristin Lyerly,178666,Wisconsin,8
DEM,John Larson,208649,Connecticut,1
REP,Jim Griffin,115065,Connecticut,1
DEM,Joe Courtney,218162,Connecticut,2
REP,Mike France,157878,Connecticut,2
DEM,Rosa DeLauro,193684,Connecticut,3
REP,Michael Massey,135113,Connecticut,3
DEM,Jim Himes,200791,Connecticut,4
REP,Michael Goldstein,122793,Connecticut,4
DEM,Jahana Hayes,180268,Connecticut,5
REP,George Logan,157258,Connecticut,5
DEM,Ed Case,164237,Hawaii,1
REP,Patrick Largey,64373,Hawaii,1
DEM,Jill Tokuda,166251,Hawaii,2
REP,Steve Bond,75471,Hawaii,2
REP,Russ Fulcher,331049,Idaho,1
DEM,Kaylee Peterson,118656,Idaho,1
REP,Mike Simpson,250119,Idaho,2
DEM,David Roth,126229,Idaho,2
DEM,Frank Mrvan,172467,Indiana,1
REP,Randy Niemeyer,145056,Indiana,1
LIB,Dakotah Miskus,5200,Indiana,1
REP,Rudy Yakym,184848,Indiana,2
DEM,Lori Camp,101962,Indiana,2
LIB,William Henry,7795,Indiana,2
REP,Marlin Stutzman,202653,Indiana,3
DEM,Kiley Adolph,97871,Indiana,3
LIB,Jarrad Lancaster,11015,Indiana,3
REP,Jim Baird,209794,Indiana,4
DEM,Derrick Holder,100091,Indiana,4
LIB,Ashley Groff,13710,Indiana,4
REP,Victoria Spartz,203293,Indiana,5
DEM,Deborah Pickett,136554,Indiana,5
LIB,Lauri Shillings,9567,Indiana,5
REP,Jefferson Shreve,201357,Indiana,6
DEM,Cinde Wirth,99841,Indiana,6
LIB,James Sceniak,13711,Indiana,6
DEM,André Carson,185987,Indiana,7
REP,John Schmitz,78792,Indiana,7
LIB,Rusty Johnson,7369,Indiana,7
REP,Mark Messmer,219941,Indiana,8
DEM,Erik Hurt,95311,Indiana,8
LIB,Richard Fitzlaff,8381,Indiana,8
REP,Erin Houchin,222884,Indiana,9
DEM,Tim Peck,113400,Indiana,9
LIB,Russell Brooksbank,9454,Indiana,9
REP,Mariannette Miller-Meeks,206955,Iowa,1
DEM,Christina Bohannan,206156,Iowa,1
REP,Ashley Hinson,233340,Iowa,2
DEM,Sarah Corkery,169740,Iowa,2
REP,Zach Nunn,213746,Iowa,3
DEM,Lanon Baccam,197962,Iowa,3
REP,Randy Feenstra,250522,Iowa,4
DEM,Ryan Melton,122175,Iowa,4
REP,Tracey Mann,210493,Kansas,1
DEM,Paul Buskirk,93965,Kansas,1
REP,Derek Schmidt,172847,Kansas,2
DEM,Nancy Boyda,115685,Kansas,2
DEM,Sharice Davids,209871,Kansas,3
REP,Prasanth Reddy,167570,Kansas,3
REP,Ron Estes,198465,Kansas,4
DEM,Esau Freeman,106632,Kansas,4
REP,James Comer,252729,Kentucky,1
DEM,Erin Marshall,85524,Kentucky,1
REP,Brett Guthrie,252826,Kentucky,2
DEM,Hank Linderman,93029,Kentucky,2
DEM,Morgan McGarvey,203100,Kentucky,3
REP,Mike Craven,124713,Kentucky,3
REP,Thomas Massie,278386,Kentucky,4
REP,Hal Rogers,261407,Kentucky,5
REP,Andy Barr,222291,Kentucky,6
DEM,Randy Cravens,130344,Kentucky,6
REP,Steve Scalise,238842,Louisiana,1
DEM,Mel Manuel,85911,Louisiana,1
REP,Randall Arrington,17856,Louisiana,1
REP,Ross Shales,8330,Louisiana,1
NPA,Frankie Hyers,6781,Louisiana,1
DEM,Troy Carter,184009,Louisiana,2
REP,Christy Lynch,41641,Louisiana,2
REP,Devin Graham,39174,Louisiana,2
DEM,Devin Davis,32482,Louisiana,2
REP,Shondrell Perrilloux,7878,Louisiana,2
REP,Clay Higgins,226279,Louisiana,3
DEM,Priscilla Gonzalez,59834,Louisiana,3
DEM,Sadi Summerlin,21323,Louisiana,3
REP,Xan John,13246,Louisiana,3
REP,Mike Johnson,262821,Louisiana,4
REP,Joshua Morott,43427,Louisiana,4
REP,Julia Letlow,201037,Louisiana,5
DEM,Michael Vallien,82981,Louisiana,5
REP,Vinny Mendoza,35833,Louisiana,5
DEM,Cleo Fields,150323,Louisiana,6
REP,Elbert Guillory,111737,Louisiana,6
DEM,Quentin Anderson,23811,Louisiana,6
DEM,Peter Williams,6252,Louisiana,6
DEM,Wilken Jones,3910,Louisiana,6
DEM,Chellie Pingree,249798,Maine,1
REP,Ronald Russell,154849,Maine,1
IND,Ethan Alcorn,20883,Maine,1
DEM,Jared Golden,196189,Maine,2
REP,Austin Theriault,194030,Maine,2
WRI,Diana Merenda,420,Maine,2
REP,Trent Kelly,223589,Mississippi,1
DEM,Dianne Black,96697,Mississippi,1
DEM,Bennie Thompson,177885,Mississippi,2
REP,Ron Eller,108956,Mississippi,2
REP,Michael Guest,265159,Mississippi,3
REP,Mike Ezell,215095,Mississippi,4
DEM,Craig Raybon,75771,Mississippi,4
DEM,Wesley Bell,233312,Missouri,1
REP,Andrew Jones,56453,Missouri,1
REP,Ann Wagner,233444,Missouri,2
DEM,Ray Hartmann,182056,Missouri,2
REP,Bob Onder,240620,Missouri,3
DEM,Bethany Mann,138532,Missouri,3
REP,Mark Alford,259886,Missouri,4
DEM,Jeanette Cass,96568,Missouri,4
DEM,Emanuel Cleaver,199900,Missouri,5
REP,Sean Smith,120957,Missouri,5
REP,Sam Graves,265210,Missouri,6
DEM,Pam May,100999,Missouri,6
REP,Eric Burlison,263231,Missouri,7
DEM,Missi Hesketh,96655,Missouri,7
REP,Jason Smith,271249,Missouri,8
DEM,Randi McCallian,77649,Missouri,8
REP,Ryan Zinke,168529,Montana,1
DEM,Monica Tranel,143783,Montana,1
REP,Troy Downing,181832,Montana,2
DEM,John Driscoll,93713,Montana,2
REP,Mike Flood,187559,Nebraska,1
DEM,Carol Blood,124498,Nebraska,1
REP,Don Bacon,160198,Nebraska,2
DEM,Tony Vargas,154369,Nebraska,2
REP,Adrian Smith,243481,Nebraska,3
DEM,Daniel Ebers,59287,Nebraska,3
DEM,Dina Titus,167885,Nevada,1
REP,Mark Robertson,143650,Nevada,1
REP,Mark Amodei,219918,Nevada,2
NPD,Greg Kidd,144064,Nevada,2
IAP,Lynn Chapman,19784,Nevada,2
LIB,Javi Trujillo Tachiquin,15817,Nevada,2
DEM,Susie Lee,191304,Nevada,3
REP,Drew Johnson,181084,Nevada,3
DEM,Steven Horsford,174926,Nevada,4
REP,John Lee,148061,Nevada,4
DEM,Chris Pappas,218577,New Hampshire,1
REP,Russell Prescott,185936,New Hampshire,1
DEM,Maggie Goodlander,211641,New Hampshire,2
REP,Lily Tang Williams,187810,New Hampshire,2
DEM,Melanie Stansbury,193203,New Mexico,1
REP,Steve Jones,149546,New Mexico,1
DEM,Gabriel Vasquez,138177,New Mexico,2
REP,Yvette Herrell,127145,New Mexico,2
DEM,Teresa Leger Fernandez,162342,New Mexico,3
REP,Sharon Clahchischilliage,126085,New Mexico,3
DEM,Greg Landsman,213916,Ohio,1
REP,Orlando Sonza,177993,Ohio,1
REP,David Taylor,268211,Ohio,2
DEM,Samantha Meadows,96401,Ohio,2
DEM,Joyce Beatty,242632,Ohio,3
REP,Michael Young,100355,Ohio,3
REP,Jim Jordan,273297,Ohio,4
DEM,Tamie Wilson,125905,Ohio,4
REP,Bob Latta,255633,Ohio,5
DEM,Keith Mundy,123024,Ohio,5
REP,Michael Rulli,245860,Ohio,6
DEM,Michael Kripchak,122515,Ohio,6
REP,Max Miller,204494,Ohio,7
DEM,Matt Diemer,144613,Ohio,7
IND,Dennis Kucinich,51265,Ohio,7
REP,Warren Davidson,237503,Ohio,8
DEM,Vanessa Enoch,140625,Ohio,8
DEM,Marcy Kaptur,181098,Ohio,9
REP,Derek Merrin,178716,Ohio,9
REP,Mike Turner,213695,Ohio,10
DEM,Amy Cox,145420,Ohio,10
DEM,Shontel Brown,236883,Ohio,11
REP,Alan Rapoport,59394,Ohio,11
REP,Troy Balderson,260450,Ohio,12
DEM,Jerrad Christian,119738,Ohio,12
DEM,Emilia Sykes,197466,Ohio,13
REP,Kevin Coughlin,188924,Ohio,13
REP,David Joyce,243427,Ohio,14
DEM,Brian Kenderes,140431,Ohio,14
REP,Mike Carey,196338,Ohio,15
DEM,Adam Miller,151411,Ohio,15
REP,Kevin Hern,188832,Oklahoma,1
DEM,Dennis Baker,107903,Oklahoma,1
REP,Josh Brecheen,238123,Oklahoma,2
DEM,Brandon Wade,68841,Oklahoma,2
REP,Frank Lucas,0,Oklahoma,3
REP,Tom Cole,199962,Oklahoma,4
DEM,Mary Brannon,86641,Oklahoma,4
REP,Stephanie Bice,207636,Oklahoma,5
DEM,Madison Horn,134471,Oklahoma,5
DEM,Suzanne Bonamici,241556,Oregon,1
REP,Bob Todd,98908,Oregon,1
REP,Cliff Bentz,224601,Oregon,2
DEM,Dan Ruby,115337,Oregon,2
DEM,Maxine Dexter,226405,Oregon,3
REP,Joanna Harbour,84344,Oregon,3
DEM,Val Hoyle,195862,Oregon,4
REP,Monique DeSpain,166430,Oregon,4
DEM,Janelle Bynum,191365,Oregon,5
REP,Lori Chavez-DeRemer,180420,Oregon,5
DEM,Andrea Salinas,180869,Oregon,6
REP,Mike Erickson,157634,Oregon,6
DEM,Gabriel Amo,139352,Rhode Island,1
REP,Allen Waters,70742,Rhode Island,1
DEM,Seth Magaziner,153439,Rhode Island,2
REP,Steven Corvi,109381,Rhode Island,2
REP,Nancy Mace,227502,South Carolina,1
DEM,Michael Moore,162582,South Carolina,1
REP,Joe Wilson,211514,South Carolina,2
DEM,David Robinson,142985,South Carolina,2
REP,Sheri Biggs,248451,South Carolina,3
DEM,Bryon Best,87735,South Carolina,3
REP,William Timmons,206916,South Carolina,4
DEM,Kathryn Harvey,128976,South Carolina,4
REP,Ralph Norman,228260,South Carolina,5
DEM,Evangeline Hundley,130592,South Carolina,5
DEM,Jim Clyburn,182056,South Carolina,6
REP,Duke Buckner,112360,South Carolina,6
REP,Russell Fry,240326,South Carolina,7
DEM,Mal Hyman,129522,South Carolina,7
REP,Blake Moore,230975,Utah,1
DEM,Bill Campbell,117319,Utah,1
REP,Celeste Maloy,205234,Utah,2
DEM,Nathaniel Woodward,121114,Utah,2
REP,Mike Kennedy,242496,Utah,3
DEM,Glenn Wright,122780,Utah,3
REP,Burgess Owens,230627,Utah,4
DEM,Katrina Fallick-Wang,109838,Utah,4
REP,Carol Miller,228491,West Virginia,1
DEM,Chris Reed,90038,West Virginia,1
REP,Riley  Moore,268190,West Virginia,2
DEM,Steven Wendelin,110775,West Virginia,2
REP,Nick Begich,159550,Alaska,1
DEM,Mary Peltola,152828,Alaska,1
AKI,John Wayne Howe,13010,Alaska,1
DEM,Eric Hafner,3417,Alaska,1
DEM,Sarah McBride,287830,Delaware,1
REP,John Whalen,209606,Delaware,1
REP,Julie Fedorchak,249101,North Dakota,1
DEM,Trygve Hammer,109231,North Dakota,1
REP,Dusty Johnson,303630,South Dakota,1
DEM,Sheryl Johnson,117818,South Dakota,1
DEM,Becca Balint,218398,Vermont,1
REP,Mark Coester,104451,Vermont,1
REP,Harriet Hageman,184680,Wyoming,1
DEM,Kyle Cameron,60778,Wyoming,1
